DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2021 JAN  1   00 38 24.3 38.3894 21.9832    8         1.2
 2021 JAN  1   00 57 47.9 38.3748 22.0290    8         0.8
 2021 JAN  1   01 09 25.7 38.3693 22.0290    7         1.6
 2021 JAN  1   01 28 31.0 40.4311 21.1546   17         2.1
 2021 JAN  1   01 53 23.6 34.9503 24.3283   45         1.9
 2021 JAN  1   02 05 36.1 38.3835 21.9992   10         1.2
 2021 JAN  1   02 06 34.9 38.3780 21.9864    8         1.1
 2021 JAN  1   02 07 45.8 38.3665 22.0226   14         1.1
 2021 JAN  1   02 07 47.0 38.6710 24.0024   16         0.9
 2021 JAN  1   02 24 37.8 34.2572 25.2191   15         2.7
 2021 JAN  1   02 41 25.6 38.3922 21.9905   10         1.1
 2021 JAN  1   02 44 36.2 40.2081 19.5392   11         2.3
 2021 JAN  1   02 56 55.2 38.3876 22.0326    9         1.0
 2021 JAN  1   03 00 46.2 37.9221 27.2159    9         3.2
 2021 JAN  1   03 39 00.0 37.2830 22.7426   70         2.0
 2021 JAN  1   03 55 20.9 38.3807 22.0331    9         3.5
 2021 JAN  1   04 01 41.3 38.4000 24.1434   17         2.0
 2021 JAN  1   04 03 25.9 38.3702 22.0299   13         1.6
 2021 JAN  1   04 04 32.6 38.3725 22.0193   12         0.9
 2021 JAN  1   04 05 12.5 38.3734 22.0258   13         1.0
 2021 JAN  1   04 07 04.7 38.3665 22.0619   10         1.1
 2021 JAN  1   04 55 16.8 35.6680 26.3406   17         2.2
 2021 JAN  1   05 01 15.3 38.3739 22.0207   12         1.3
 2021 JAN  1   05 24 12.2 38.3766 22.0308   12         2.0
 2021 JAN  1   05 40 31.3 38.7241 20.5820   10         1.3
 2021 JAN  1   05 54 59.8 38.3780 22.0358    8         1.1
 2021 JAN  1   05 57 07.0 38.3611 22.0207   12         0.6
 2021 JAN  1   06 01 57.6 37.7829 26.9797   10         2.4
 2021 JAN  1   06 12 25.5 38.3922 22.0024   10         1.0
 2021 JAN  1   06 18 52.4 38.1615 22.6295   15         1.5
 2021 JAN  1   06 28 34.9 38.5533 21.8889   18         1.1
 2021 JAN  1   06 29 20.8 38.3684 22.0976   11         0.9
 2021 JAN  1   06 32 33.7 38.3693 21.9960   10         1.4
 2021 JAN  1   07 56 20.9 36.4911 21.7877   20         2.1
 2021 JAN  1   07 59 45.0 38.3839 22.0262    8         1.0
 2021 JAN  1   08 12 23.8 35.1169 23.6362   25         1.8
 2021 JAN  1   08 40 05.9 34.9347 23.2526   22         2.3
 2021 JAN  1   08 44 23.6 38.3762 22.0010   11         2.0
 2021 JAN  1   09 03 30.3 39.0775 24.2953   16         2.0
 2021 JAN  1   09 10 37.6 38.3904 21.9923    8         2.1
 2021 JAN  1   09 33 25.7 34.0611 26.3263   14         2.4
 2021 JAN  1   09 51 03.4 38.3940 22.0830    8         1.1
 2021 JAN  1   10 42 32.9 39.9696 20.5238   16         2.1
 2021 JAN  1   11 06 36.8 36.9232 23.2086   15         2.1
 2021 JAN  1   11 13 16.0 38.4041 21.9832    5         1.0
 2021 JAN  1   11 37 09.1 37.9129 20.4410   12         1.7
 2021 JAN  1   11 40 47.0 37.8905 20.4735   19         2.0
 2021 JAN  1   11 45 04.8 39.4341 20.7216   14         2.1
 2021 JAN  1   11 53 39.3 37.7765 26.9476   16         2.9
 2021 JAN  1   12 32 31.3 38.3940 22.0399   12         1.8
 2021 JAN  1   12 34 53.5 38.3931 22.0335    8         2.1
 2021 JAN  1   12 35 19.4 38.4059 22.0427    9         1.6
 2021 JAN  1   13 04 39.3 34.7598 24.1672   14         2.6
 2021 JAN  1   14 11 54.9 37.2620 20.5994    8         1.8
 2021 JAN  1   14 21 35.8 37.7747 21.0974   19         1.2
 2021 JAN  1   14 30 37.5 38.3876 22.0079    7         0.8
 2021 JAN  1   14 48 07.9 35.9903 27.5272    8         2.5
 2021 JAN  1   16 04 18.0 37.9037 26.6226    6         2.4
 2021 JAN  1   16 36 21.5 35.8090 27.9410   63         3.9
 2021 JAN  1   17 28 32.2 38.5007 25.4672   28         2.5
 2021 JAN  1   17 45 41.3 38.4384 20.4703   19         1.4
 2021 JAN  1   17 58 56.1 37.8731 22.9655    9         1.1
 2021 JAN  1   18 21 08.8 35.1682 23.2993   28         2.2
 2021 JAN  1   18 32 37.9 34.1565 25.8582   28         2.3
 2021 JAN  1   19 24 25.8 38.3830 22.0207    8         0.6
 2021 JAN  1   19 33 59.5 35.1288 22.5092   27         2.1
 2021 JAN  1   19 40 02.1 38.3908 22.0157    7         0.8
 2021 JAN  1   19 49 03.0 38.4013 22.0372    9         1.2
 2021 JAN  1   20 51 34.3 38.3748 22.0262   10         0.5
 2021 JAN  1   20 56 55.7 38.3890 22.0670    7         0.9
